date,enodeb_name,longitude_sector,latitude_sector,azimuth,cell_name,frequency_band,localcell_id,cell_fdd_tdd_indication,l_traffic_activeuser_dl_avg,ft_ave_4g_lte_dl_user_thrput_without_last_tti_all___kbps__kbit_,ft_physical_resource_blocks_load_dl,ft_4g_lte_average_reported_cqi,ot_average_ta,referencesignalpwr
01-12-2025 00:00,site_0052,10.64108,35.80864,150,site_0052_l2,1,8,CELL_FDD,1.4615,20542.9963,67.4603,10.2021,1.2829,182
01-12-2025 00:00,site_0059,10.59579,35.8009,70,site_0059_lx1,1,27,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0048,10.63975,35.833557,300,site_0048_h3,3,6,CELL_FDD,0.9937,75121.6857,58.728,10.5273,1.5648,170
01-12-2025 00:00,site_0049,10.61781,35.80867,270,site_0049_h3,3,6,CELL_FDD,4.5947,7566.8975,84.4371,8.4084,2.265,170
01-12-2025 00:00,site_0043,10.56058,35.89798,210,site_0043_f2,20,2,CELL_FDD,0.7712,22616.2966,47.2166,8.8982,4.8105,182
01-12-2025 00:00,site_0056,10.60954,35.81536,200,site_0056_l4,1,17,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0040,10.52544,35.86844,70,site_0040_lx1,1,27,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0040,10.52544,35.86844,310,site_0040_lx3,1,29,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0034,10.59288888,35.88961111,100,site_0034_f2,20,2,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0040,10.52544,35.86844,70,site_0040_hx1,3,24,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0040,10.52544,35.86844,170,site_0040_hx2,3,25,CELL_FDD,5.2397,5203.1377,92.6751,7.4401,2.9181,170
01-12-2025 00:00,site_0021,10.599205,35.84282,330,site_0021_f4,20,11,CELL_FDD,1.9082,7542.7484,84.1492,8.9866,2.8223,182
01-12-2025 00:00,site_0032,10.59275,35.89411111,10,site_0032_l1,1,7,CELL_FDD,0.3426,53188.2806,22.5467,10.4389,2.3027,164
01-12-2025 00:00,site_0056,10.60954,35.81536,200,site_0056_h4,3,14,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0015,10.58638889,35.73286111,185,site_0015_j4,3,114,CELL_FDD,0,,,,,142
01-12-2025 00:00,site_0017,10.61716667,35.84623611,115,site_0017_l1,1,7,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0034,10.59288888,35.88961111,0,site_0034_f1,20,1,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0040,10.52544,35.86844,310,site_0040_hx3,3,26,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0020,10.59291667,35.83411111,200,site_0020_f2,20,2,CELL_FDD,1.8258,7577.0132,75.5493,8.5663,2.3386,182
01-12-2025 00:00,site_0017,10.61716667,35.84623611,350,site_0017_l4,1,17,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0017,10.61716667,35.84623611,350,site_0017_f4,20,11,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0027,10.589417,35.85664,50,site_0027_l1,1,7,CELL_FDD,1.6645,15613.3356,64.3106,9.9038,2.2798,182
01-12-2025 00:00,site_0032,10.59275,35.89411111,10,site_0032_f1,20,1,CELL_FDD,0.361,25158.5775,30.538,9.9887,1.835,182
